Season,TeamID,Rating
2023,1397,86.87
2020,1371,86.95
2019,1437,86.96
2021,1166,87.0
2016,1274,87.05
2023,1181,87.11
2023,1124,87.13
2018,1397,87.17
2017,1199,87.22
2018,1403,87.27
2017,1332,87.3
2021,1458,87.33
2016,1181,87.33
2017,1153,87.35
2016,1231,87.36
2016,1268,87.37
2020,1332,87.38
2017,1388,87.39
2020,1437,87.46
2020,1361,87.47
2023,1166,87.56
2023,1266,87.6
2017,1124,87.66
2022,1124,87.66
2016,1462,87.73
2017,1196,87.84
2017,1458,87.84
2018,1112,87.86
2019,1222,87.89
2017,1235,87.92
2018,1455,87.97
2020,1326,87.99
2016,1332,88.0
2020,1199,88.01
2017,1417,88.02
2021,1438,88.07
2020,1268,88.11
2018,1246,88.17
2023,1417,88.26
2020,1246,88.28
2017,1374,88.43
2019,1199,88.44
2020,1257,88.51
2018,1276,88.54
2018,1452,88.58
2017,1345,88.61
2021,1276,88.64
2016,1345,88.68
2022,1403,88.7
2022,1222,88.72
2021,1104,88.84
2017,1455,88.86
2022,1397,88.87
2018,1462,88.88
2022,1234,88.96
2017,1112,88.99
2023,1112,89.0
2019,1120,89.02
2016,1112,89.04
2019,1345,89.04
2022,1345,89.1
2023,1163,89.24
2019,1439,89.26
2022,1181,89.28
2016,1452,89.3
2021,1326,89.35
2023,1345,89.48
2022,1120,89.48
2018,1211,89.54
2023,1242,89.62
2019,1403,89.65
2020,1173,89.68
2022,1417,89.83
2023,1211,89.92
2016,1328,89.96
2017,1438,90.02
2023,1400,90.08
2022,1437,90.22
2020,1124,90.48
2021,1222,90.55
2018,1314,90.62
2016,1246,90.69
2017,1257,90.8
2017,1452,90.8
2021,1234,90.81
2018,1242,90.88
2022,1112,90.92
2019,1276,91.04
2018,1153,91.06
2018,1345,91.08
2022,1246,91.22
2019,1246,91.24
2022,1242,91.27
2016,1437,91.29
2019,1397,91.34
2018,1277,91.67
2017,1314,91.74
2020,1181,91.74
2020,1277,91.76
2016,1277,91.84
2017,1242,92.18
2017,1181,92.26
2017,1246,92.28
2019,1277,92.28
2016,1438,92.46
2023,1104,92.57
2018,1181,92.59
2018,1438,93.07
2023,1222,93.22
2019,1314,93.24
2020,1211,93.34
2021,1124,93.64
2017,1211,93.71
2021,1228,93.85
2016,1314,93.94
2020,1242,94.19
2016,1242,94.46
2018,1437,94.92
2019,1211,95.02
2017,1437,95.18
2019,1438,95.22
2019,1181,96.3
2022,1211,96.46
2021,1211,96.52
2022,3230,58.31
2023,3357,59.0
2016,3106,59.87
2018,3212,60.58
2021,3430,61.63
2023,3380,61.73
2019,3380,61.9
2017,3421,62.02
2017,3411,62.72
2018,3311,62.81
2022,3291,63.48
2019,3126,63.54
2023,3284,64.1
2016,3299,64.33
2022,3224,64.42
2017,3352,64.43
2016,3352,64.62
2020,3282,64.84
2023,3151,64.87
2020,3144,65.03
2019,3101,65.11
2018,3299,65.27
2021,3291,65.66
